"discrim","year","smooth","smotoh"
0.853174603174603,1931,0.881987449458215,0.87806732839473
0.879382498756387,1990,0.848547434182333,0.869080592455677
0.803267543859649,1972,0.839365539193428,0.820521690945161
0.750912763728864,1975,0.796113971973552,0.749717401663393
0.913050847457627,1960,0.936030698750497,0.922844845728284
0.898576122672508,1970,0.860150188722042,0.897682302786961
0.968737781036168,1939,0.938908801291565,0.954303688033929
0.980214543812105,1946,0.954065232496002,0.982346246448275
0.950761798587886,1967,0.900112322663396,0.94606547257615
0.941408782788093,1954,0.935671033301419,0.948415740613602
0.866120086809742,2002,0.875193890683409,0.881776255778168
0.8,1988,0.827793355094972,0.793670323260266
0.934504052031942,1955,0.93290847290034,0.942086902964739
0.915401234567901,1938,0.934258756593673,0.938576223721018
0.765861095426313,1984,0.787085083638469,0.805008254719247
0.747349643221203,1977,0.776812335360113,0.75712320657913
0.928556319407721,1937,0.929036464480361,0.925187653001365
0.86047138047138,1958,0.932350804751312,0.884311080980075
0.979022167822657,1944,0.952644619379994,0.981215824365908
0.794527250828064,1983,0.776390108084321,0.800749478448138
0.941698501322363,1962,0.930174382406707,0.947645416140253
0.971670590921415,1943,0.951125549997273,0.975497348909681
0.958145137006926,1948,0.950198478331256,0.949103639128787
0.922475247524753,1959,0.93483628322273,0.897896532117874
0.910382513661202,1964,0.921388337962505,0.943627465067623
0.759528547374866,1974,0.810565183104926,0.760422003355935
0.882268427384077,1995,0.869816897495982,0.876584342473871
0.814673283705542,1989,0.837814119231373,0.827949369567438
0.904895104895105,1934,0.909031430755545,0.888314759958563
0.748630672926448,1976,0.784216165937045,0.749956272372205
0.79259436215958,2000,0.874300869999336,0.83525048680436
0.879473684210526,1971,0.849833543421136,0.863213204789012
0.881453310036886,2009,0.873042328523196,0.887943420401952
0.901778385772914,1991,0.858029393161362,0.901031632808882
0.781652790625964,1978,0.773039977533529,0.759352159868132
0.93104514533086,2013,0.869135932024419,0.914725611700364
0.915722528193024,1969,0.873347501387235,0.918276951945501
0.910947512914063,1992,0.86429608938197,0.904943389281514
0.989221556886227,1945,0.953916300021396,0.983740298114977
0.778281262841511,2005,0.875551531240246,0.79720677784847
0.837697085523172,1985,0.80002311192431,0.800083864498969
0.902106227106227,2010,0.87228308784884,0.887684007409721
0.966666666666667,1941,0.946542391996834,0.975927395285974
0.915873015873016,1949,0.947670211804161,0.934413312310694
0.93675751222921,1956,0.930606554837448,0.915205601380929
0.969079939668175,1963,0.926015943902316,0.945867034298352
0.940865851291011,1997,0.870732675287165,0.926092057471588
0.968418318523582,1947,0.952578055247246,0.968400785893188
0.963099136498746,1965,0.915996140693324,0.945190383339928
0.883660130718954,2011,0.871434635717721,0.887659171709982
0.736318897637795,1979,0.770674071928435,0.745318054799354
0.777460687245195,2004,0.875700204023522,0.807213353205319
0.914848484848485,1951,0.943927202251019,0.916868213787054
0.946665264043762,1966,0.909543928200819,0.950159544052041
0.885592959008573,2003,0.875518914709006,0.849784214163183
0.945497716894977,1961,0.934159077369632,0.941599283440452
0.842857142857143,2006,0.875139912229409,0.820553834883844
0.977561728395062,1940,0.943076876873598,0.971269126093059
0.880612244897959,1932,0.891684951816461,0.866923336213751
0.96261355695318,1953,0.938614699412409,0.937591507729841
0.904225499231951,2001,0.874843929380211,0.859511919204357
0.892397891963109,1993,0.867401167791134,0.887493548515865
0.776996758031241,1987,0.820449048559619,0.790780088184324
0.905361305361305,1952,0.941459934605034,0.927057838466245
0.745652128620043,1980,0.769611412180094,0.737637344191043
0.892074919888614,1996,0.870195334062959,0.907528704007125
0.829238954429794,1999,0.873396551740707,0.852651267511123
0.892310863739435,1935,0.916514024809237,0.90840222766104
0.9256804214223,1968,0.887357529879944,0.930448243023599
0.865538461538462,2012,0.870413430864645,0.897000960338683
0.927434070741157,1998,0.871962813804246,0.896048930048152
0.977369039229504,1942,0.949158378620473,0.972298894981931
0.855263621936166,1994,0.86906347295059,0.87221238715501
0.883718778908418,1957,0.930349237301224,0.892720247121957
0.915483870967742,1930,0.871718026858931,0.904454247299316
0.935431235431235,1950,0.945736965722088,0.919264490901512
0.875938656795346,2008,0.873795899005982,0.876426870178803
0.798689273689274,1986,0.812159373408982,0.80146681007733
0.713725490196078,1981,0.769748791923772,0.761204266204762
0.934811827956989,1936,0.923151646652069,0.919816656124129
0.856430976430976,1933,0.900727342670095,0.872255081630523
0.842011956297671,1982,0.770983004794732,0.785290534715693
0.855867346938776,2007,0.874532362861244,0.856960959772249
0.785867895545315,1973,0.825629228966455,0.782026388319236
